id,title,authors,translators,role,include_in_stylometry,genre,genre_clean,original_language,source_edition,original_date,publication_date,date_basis,ip_status,text_stripped_path,text_nikud_path,path,year,edition_date,exact_date,date_verdict,date_confidence,date_source,user_year,nonby_date,nonby_source
13098,הָאֲסוּפִי,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1957,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13098.txt,authors/alterman/corpus/nikud/13098.txt,https://benyehuda.org/read/13098,1957.0,1962.0,,confirmed,med,https://benyehuda.org/read/13098,1957,,
13099,נִגּוּן עַתִּיק,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1945,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13099.txt,authors/alterman/corpus/nikud/13099.txt,https://benyehuda.org/read/13099,1945.0,1962.0,,conflict,low,https://benyehuda.org/read/13099,1938,,
13100,הָעַלְמָה,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1957,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13100.txt,authors/alterman/corpus/nikud/13100.txt,https://benyehuda.org/read/13100,1957.0,1962.0,,conflict,low,https://benyehuda.org/read/13100,1938,,
13106,במעגל (הערות לויכוח),נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1932,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13106.txt,authors/alterman/corpus/nikud/13106.txt,https://benyehuda.org/read/13106,1932.0,1970.0,30.03.1932,conflict,high,https://benyehuda.org/read/13106,1962,,
13107,על הבלתי⁻מובן בשירה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1933,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13107.txt,authors/alterman/corpus/nikud/13107.txt,https://benyehuda.org/read/13107,1933.0,1970.0,24.11.1933,conflict,high,https://benyehuda.org/read/13107,1946,,
13108,העשירי למנין,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1932,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13108.txt,authors/alterman/corpus/nikud/13108.txt,https://benyehuda.org/read/13108,1932.0,1970.0,17.02.1932,conflict,high,https://benyehuda.org/read/13108,1955,,
13109,"ראווה וראי: (לצאת ""האהל"" למסעיו בחו""ל)",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1934,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13109.txt,authors/alterman/corpus/nikud/13109.txt,https://benyehuda.org/read/13109,1934.0,1970.0,30.03.1934,conflict,high,https://benyehuda.org/read/13109,1950,,
13110,צירופי דברים: לתערוכה של אליהו ניומן,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1934,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13110.txt,authors/alterman/corpus/nikud/13110.txt,https://benyehuda.org/read/13110,1934.0,1970.0,25.05.1934,conflict,high,https://benyehuda.org/read/13110,1943,,
13111,סוד המרכאות הכפולות,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1938,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13111.txt,authors/alterman/corpus/nikud/13111.txt,https://benyehuda.org/read/13111,1938.0,1970.0,19.10.1938,conflict,high,https://benyehuda.org/read/13111,1954,,
13112,עולם והיפוכו,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1939,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13112.txt,authors/alterman/corpus/nikud/13112.txt,https://benyehuda.org/read/13112,1939.0,1970.0,30.03.1939,conflict,high,https://benyehuda.org/read/13112,1951,,
13113,סער ופרץ,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1940,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13113.txt,authors/alterman/corpus/nikud/13113.txt,https://benyehuda.org/read/13113,1940.0,1970.0,01.1940,conflict,high,https://benyehuda.org/read/13113,1961,,
13114,"משה ליפשיץ ז""ל",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1940,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13114.txt,authors/alterman/corpus/nikud/13114.txt,https://benyehuda.org/read/13114,1940.0,1970.0,04.1940,confirmed,high,https://benyehuda.org/read/13114,1940,,
13115,"על ""חירות פיוטית""",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1951,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13115.txt,authors/alterman/corpus/nikud/13115.txt,https://benyehuda.org/read/13115,1951.0,1970.0,02.02.1951,conflict,high,https://benyehuda.org/read/13115,1945,,
13116,באלאדות ישנות ושירי־זמר של אנגליה וסקוטלאנד (הקדמה),נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1959,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13116.txt,authors/alterman/corpus/nikud/13116.txt,https://benyehuda.org/read/13116,1959.0,1970.0,,conflict,med,https://benyehuda.org/read/13116,1944,,
13117,"לתרגום ""יוליוס קיסר"" מאת ו. שקספיר",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1933,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13117.txt,authors/alterman/corpus/nikud/13117.txt,https://benyehuda.org/read/13117,1933.0,1970.0,11.08.1933,conflict,high,https://benyehuda.org/read/13117,1958,,
13118,"על כמה ערעורים של ב. קורצווייל (למאמריו על ""אותלו"")",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1955,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13118.txt,authors/alterman/corpus/nikud/13118.txt,https://benyehuda.org/read/13118,1955.0,1970.0,10.06.1955,conflict,high,https://benyehuda.org/read/13118,1951,,
13119,"במקום הקדמה ל""כנרת כנרת""",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1962,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13119.txt,authors/alterman/corpus/nikud/13119.txt,https://benyehuda.org/read/13119,1962.0,1970.0,09.02.1962,confirmed,high,https://benyehuda.org/read/13119,1962,,
13120,"בשולי ""הסערה הגדולה"": מכתב למערכת ""הארץ""",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1963,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13120.txt,authors/alterman/corpus/nikud/13120.txt,https://benyehuda.org/read/13120,1963.0,1970.0,01.02.1963,conflict,high,https://benyehuda.org/read/13120,1961,,
13121,"""ועד האגודה החליט..."" (התפתחות חדשה בדיון על הביקורת התיאטראלית)",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1963,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13121.txt,authors/alterman/corpus/nikud/13121.txt,https://benyehuda.org/read/13121,1963.0,1970.0,15.03.1963,confirmed,high,https://benyehuda.org/read/13121,1963,,
13122,כמה דברים בשעה גדולה לשירתנו (עם ספר השירים של י. בת־מרים),נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1963,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13122.txt,authors/alterman/corpus/nikud/13122.txt,https://benyehuda.org/read/13122,1963.0,1970.0,25.01.1963,conflict,high,https://benyehuda.org/read/13122,1964,,
13123,עיני הזמן האפל,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1964,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13123.txt,authors/alterman/corpus/nikud/13123.txt,https://benyehuda.org/read/13123,1964.0,1970.0,10.07.1964,conflict,high,https://benyehuda.org/read/13123,1961,,
13124,על שירי מתי כץ,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1965,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13124.txt,authors/alterman/corpus/nikud/13124.txt,https://benyehuda.org/read/13124,1965.0,1970.0,,confirmed,med,https://benyehuda.org/read/13124,1965,,
13125,עקרת הבית,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1948,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13125.txt,authors/alterman/corpus/nikud/13125.txt,https://benyehuda.org/read/13125,1948.0,1970.0,,conflict,med,https://benyehuda.org/read/13125,1944,,
13126,שירתו של עזרא זוסמן,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13126.txt,authors/alterman/corpus/nikud/13126.txt,https://benyehuda.org/read/13126,1968.0,1970.0,,confirmed,med,https://benyehuda.org/read/13126,1968,,
13127,"טיול: בתערוכה הקולוניאלית הבינלאומית, פאריס 1931",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1931,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13127.txt,authors/alterman/corpus/nikud/13127.txt,https://benyehuda.org/read/13127,1931.0,1970.0,22.09.1931,confirmed,high,https://benyehuda.org/read/13127,1931,,
13128,מוֹד,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1931,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13128.txt,authors/alterman/corpus/nikud/13128.txt,https://benyehuda.org/read/13128,1931.0,1970.0,19.11.1931,conflict,high,https://benyehuda.org/read/13128,1934,,
13129,סתיו,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1932,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13129.txt,authors/alterman/corpus/nikud/13129.txt,https://benyehuda.org/read/13129,1932.0,1970.0,26.10.1932,conflict,high,https://benyehuda.org/read/13129,1934,,
13130,חטוטרת (איך אוהב הגיבן את החיים ואיך נעשה לאוהב חיים),נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1933,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13130.txt,authors/alterman/corpus/nikud/13130.txt,https://benyehuda.org/read/13130,1933.0,1970.0,22.06.1933,conflict,high,https://benyehuda.org/read/13130,1934,,
13131,אני והיא וכל הדברים,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1933,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13131.txt,authors/alterman/corpus/nikud/13131.txt,https://benyehuda.org/read/13131,1933.0,1970.0,18.09.1933,conflict,high,https://benyehuda.org/read/13131,1934,,
13132,ערים בעולם – חיפה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1933,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13132.txt,authors/alterman/corpus/nikud/13132.txt,https://benyehuda.org/read/13132,1933.0,1970.0,22.06.1933,conflict,high,https://benyehuda.org/read/13132,1934,,
13133,גלויות מעמק הירדן,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1933,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13133.txt,authors/alterman/corpus/nikud/13133.txt,https://benyehuda.org/read/13133,1933.0,1970.0,08.12.1933,conflict,high,https://benyehuda.org/read/13133,1934,,
13134,לגמל,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1938,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13134.txt,authors/alterman/corpus/nikud/13134.txt,https://benyehuda.org/read/13134,1938.0,1970.0,15.04.1938,conflict,high,https://benyehuda.org/read/13134,1934,,
13135,הנמל ועירו,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1938,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13135.txt,authors/alterman/corpus/nikud/13135.txt,https://benyehuda.org/read/13135,1938.0,1970.0,25.05.1938,conflict,high,https://benyehuda.org/read/13135,1936,,
13136,שלושה ימים דרומה (דרך הרי הנגב לאילת),נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1950,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13136.txt,authors/alterman/corpus/nikud/13136.txt,https://benyehuda.org/read/13136,1950.0,1970.0,21.12.1950,conflict,high,https://benyehuda.org/read/13136,1949,,
13137,המסיכה האחרונה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-06-23,original,by_permission,authors/alterman/corpus/stripped/13137.txt,authors/alterman/corpus/nikud/13137.txt,https://benyehuda.org/read/13137,1968.0,1970.0,,conflict,med,https://benyehuda.org/read/13137,1952,,
13776,"""הוויכוח"" עם מוסקבה",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13776.txt,authors/alterman/corpus/nikud/13776.txt,https://benyehuda.org/read/13776,1967.0,,,conflict,high,https://benyehuda.org/collections/1320,1954,,
13777,במה מחזיקין,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13777.txt,authors/alterman/corpus/nikud/13777.txt,https://benyehuda.org/read/13777,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
13778,בהלת האיחוד,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13778.txt,authors/alterman/corpus/nikud/13778.txt,https://benyehuda.org/read/13778,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
13779,העליה – כשהיא ערבית,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13779.txt,authors/alterman/corpus/nikud/13779.txt,https://benyehuda.org/read/13779,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
13780,פולמוס הכותל,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13780.txt,authors/alterman/corpus/nikud/13780.txt,https://benyehuda.org/read/13780,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
13781,משליטה צבאית לנוכחות שלמה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13781.txt,authors/alterman/corpus/nikud/13781.txt,https://benyehuda.org/read/13781,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
13782,השתיקה האחרונה (על איליה ארנבורג),נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13782.txt,authors/alterman/corpus/nikud/13782.txt,https://benyehuda.org/read/13782,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
13811,"""תוף־הפח"" וכלי הרוח",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13811.txt,authors/alterman/corpus/nikud/13811.txt,https://benyehuda.org/read/13811,1967.0,1970.0,07.04.1967,conflict,high,https://benyehuda.org/read/13811,1953,,
13812,אבא של סווטלאנה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13812.txt,authors/alterman/corpus/nikud/13812.txt,https://benyehuda.org/read/13812,1967.0,1970.0,,conflict,high,https://benyehuda.org/collections/1320,1954,,
13813,קצת מיצעד והרבה עצבנות,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13813.txt,authors/alterman/corpus/nikud/13813.txt,https://benyehuda.org/read/13813,1967.0,1970.0,12.05.1967,conflict,high,https://benyehuda.org/read/13813,1956,,
13814,ממשלת חירום כהכרח עליון,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13814.txt,authors/alterman/corpus/nikud/13814.txt,https://benyehuda.org/read/13814,1967.0,1970.0,26.05.1967,conflict,high,https://benyehuda.org/read/13814,1956,,
13815,"""בשולי הטלגראמות""",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13815.txt,authors/alterman/corpus/nikud/13815.txt,https://benyehuda.org/read/13815,1967.0,1970.0,,conflict,med,https://benyehuda.org/collections/1321,1956,,
13816,הגמוניה של מה?,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13816.txt,authors/alterman/corpus/nikud/13816.txt,https://benyehuda.org/read/13816,1967.0,1970.0,,conflict,med,https://benyehuda.org/collections/1321,1956,,
13817,מול מציאות שאין לה אח,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13817.txt,authors/alterman/corpus/nikud/13817.txt,https://benyehuda.org/read/13817,1967.0,1970.0,16.06.1967,conflict,high,https://benyehuda.org/read/13817,1957,,
13818,"""הגדה המערבית"" – ארץ בעילום-שם",נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13818.txt,authors/alterman/corpus/nikud/13818.txt,https://benyehuda.org/read/13818,1967.0,1970.0,,conflict,high,https://benyehuda.org/collections/1320,1957,,
13819,שלום כתכלית ולא כתחליף,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13819.txt,authors/alterman/corpus/nikud/13819.txt,https://benyehuda.org/read/13819,1967.0,1970.0,,conflict,high,https://benyehuda.org/collections/1320,1957,,
13820,המערכה השלישית: הקרב על העם היהודי,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-15,original,by_permission,authors/alterman/corpus/stripped/13820.txt,authors/alterman/corpus/nikud/13820.txt,https://benyehuda.org/read/13820,1967.0,1970.0,,conflict,high,https://benyehuda.org/collections/1320,1957,,
14001,אחרי הדומיה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14001.txt,authors/alterman/corpus/nikud/14001.txt,https://benyehuda.org/read/14001,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14002,טעותו של נימוק-יסוד,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14002.txt,authors/alterman/corpus/nikud/14002.txt,https://benyehuda.org/read/14002,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14003,טשטוש במסווה של ריאליזם,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14003.txt,authors/alterman/corpus/nikud/14003.txt,https://benyehuda.org/read/14003,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14004,דחלילי נוסחאות,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14004.txt,authors/alterman/corpus/nikud/14004.txt,https://benyehuda.org/read/14004,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14005,טעמו של כבוד,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14005.txt,authors/alterman/corpus/nikud/14005.txt,https://benyehuda.org/read/14005,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14006,האלופים והמגבית,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14006.txt,authors/alterman/corpus/nikud/14006.txt,https://benyehuda.org/read/14006,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14008,משפט המישחק,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14008.txt,authors/alterman/corpus/nikud/14008.txt,https://benyehuda.org/read/14008,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14009,איחוד של לא-מפלגות,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14009.txt,authors/alterman/corpus/nikud/14009.txt,https://benyehuda.org/read/14009,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14010,בדלתיים פתוחות,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1967,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14010.txt,authors/alterman/corpus/nikud/14010.txt,https://benyehuda.org/read/14010,1967.0,,,confirmed,high,https://benyehuda.org/collections/1320,1967,,
14011,אי החלטה נחושה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14011.txt,authors/alterman/corpus/nikud/14011.txt,https://benyehuda.org/read/14011,1968.0,,,conflict,high,https://benyehuda.org/collections/1205,1967,,
14012,עץ החיים במשתלה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14012.txt,authors/alterman/corpus/nikud/14012.txt,https://benyehuda.org/read/14012,1968.0,,,conflict,high,https://benyehuda.org/collections/1205,1967,,
14013,החרמש והסהר,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14013.txt,authors/alterman/corpus/nikud/14013.txt,https://benyehuda.org/read/14013,1968.0,,,conflict,high,https://benyehuda.org/collections/1205,1967,,
14014,קדקוד⁻המשולש,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14014.txt,authors/alterman/corpus/nikud/14014.txt,https://benyehuda.org/read/14014,1968.0,,,conflict,high,https://benyehuda.org/collections/1205,1967,,
14015,משפט זוטא,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14015.txt,authors/alterman/corpus/nikud/14015.txt,https://benyehuda.org/read/14015,1968.0,,,conflict,high,https://benyehuda.org/collections/1205,1967,,
14016,ספיחי קצף,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-09-23,original,by_permission,authors/alterman/corpus/stripped/14016.txt,authors/alterman/corpus/nikud/14016.txt,https://benyehuda.org/read/14016,1968.0,,,conflict,high,https://benyehuda.org/collections/1205,1967,,
14248,תגובה שגלשה על גדותיה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-10-06,original,by_permission,authors/alterman/corpus/stripped/14248.txt,authors/alterman/corpus/nikud/14248.txt,https://benyehuda.org/read/14248,1968.0,1970.0,,confirmed,high,https://benyehuda.org/collections/1205,1968,,
14249,מועד אחרון,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-10-06,original,by_permission,authors/alterman/corpus/stripped/14249.txt,authors/alterman/corpus/nikud/14249.txt,https://benyehuda.org/read/14249,1968.0,1970.0,,confirmed,high,https://benyehuda.org/collections/1205,1968,,
14250,מדיניות על בלימה,נתן אלתרמן,,author,True,article,article,he,פרויקט בן-יהודה,1968,2019-10-06,original,by_permission,authors/alterman/corpus/stripped/14250.txt,authors/alterman/corpus/nikud/14250.txt,https://benyehuda.org/read/14250,1968.0,1970.0,,confirmed,high,https://benyehuda.org/collections/1205,1968,,
