author,bucket_kind,bucket,kind,item,per_1000
alterman,לפי תקופה,early (1931-1967),pos_bi,ADP VERB,6.24
alterman,לפי תקופה,early (1931-1967),pos_bi,AUX NOUN,6.21
alterman,לפי תקופה,early (1931-1967),pos_bi,ADJ ADV,5.84
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN PROPN,5.69
alterman,לפי תקופה,early (1931-1967),pos_bi,SCONJ NOUN,5.35
alterman,לפי תקופה,early (1931-1967),pos_bi,VERB PRON,5.24
alterman,לפי תקופה,early (1931-1967),deps,punct,177.98
alterman,לפי תקופה,early (1931-1967),deps,obl,95.89
alterman,לפי תקופה,early (1931-1967),deps,conj,69.66
alterman,לפי תקופה,early (1931-1967),deps,nsubj,67.4
alterman,לפי תקופה,early (1931-1967),deps,advmod,66.78
alterman,לפי תקופה,early (1931-1967),deps,compound:smixut,56.14
alterman,לפי תקופה,early (1931-1967),deps,amod,54.72
alterman,לפי תקופה,early (1931-1967),deps,case,46.18
alterman,לפי תקופה,early (1931-1967),deps,root,44.79
alterman,לפי תקופה,early (1931-1967),deps,nmod,41.27
alterman,לפי תקופה,early (1931-1967),deps,det,33.53
alterman,לפי תקופה,early (1931-1967),deps,acl:relcl,31.88
alterman,לפי תקופה,early (1931-1967),deps,obj,30.94
alterman,לפי תקופה,early (1931-1967),deps,case:gen,21.95
alterman,לפי תקופה,early (1931-1967),deps,nmod:poss,17.85
alterman,לפי תקופה,early (1931-1967),deps,mark,17.08
alterman,לפי תקופה,early (1931-1967),deps,cop,13.96
alterman,לפי תקופה,early (1931-1967),deps,case:acc,13.76
alterman,לפי תקופה,early (1931-1967),deps,advcl,13.2
alterman,לפי תקופה,early (1931-1967),deps,dep,11.51
alterman,לפי תקופה,early (1931-1967),deps,cc,10.13
alterman,לפי תקופה,early (1931-1967),deps,xcomp,8.57
alterman,לפי תקופה,early (1931-1967),deps,ccomp,7.12
alterman,לפי תקופה,early (1931-1967),deps,aux,6.69
alterman,לפי תקופה,early (1931-1967),deps,parataxis,6.15
alterman,לפי תקופה,early (1931-1967),deps,fixed,5.76
alterman,לפי תקופה,early (1931-1967),deps,nsubj:cop,5.49
alterman,לפי תקופה,early (1931-1967),deps,nummod,5.49
alterman,לפי תקופה,early (1931-1967),deps,appos,5.35
alterman,לפי תקופה,early (1931-1967),deps,acl,2.7
alterman,לפי תקופה,middle (1968-1968),content,לא,15.06
alterman,לפי תקופה,middle (1968-1968),content,גם,5.75
alterman,לפי תקופה,middle (1968-1968),content,דבר,5.21
alterman,לפי תקופה,middle (1968-1968),content,אין,4.53
alterman,לפי תקופה,middle (1968-1968),content,יום,4.48
alterman,לפי תקופה,middle (1968-1968),content,אמר,3.95
alterman,לפי תקופה,middle (1968-1968),content,רק,3.95
alterman,לפי תקופה,middle (1968-1968),content,ישראל,3.78
alterman,לפי תקופה,middle (1968-1968),content,עניין,3.57
alterman,לפי תקופה,middle (1968-1968),content,יש,3.47
alterman,לפי תקופה,middle (1968-1968),content,יותר,3.08
alterman,לפי תקופה,middle (1968-1968),content,יהודי,3.07
alterman,לפי תקופה,middle (1968-1968),content,שעה,2.71
alterman,לפי תקופה,middle (1968-1968),content,קיפוד,2.51
alterman,לפי תקופה,middle (1968-1968),content,מדינה,2.26
alterman,לפי תקופה,middle (1968-1968),content,כך,2.2
alterman,לפי תקופה,middle (1968-1968),content,עולם,2.19
alterman,לפי תקופה,middle (1968-1968),content,אפילו,2.16
alterman,לפי תקופה,middle (1968-1968),content,עם,2.14
alterman,לפי תקופה,middle (1968-1968),content,ארץ,2.06
alterman,לפי תקופה,middle (1968-1968),content,מה,2.01
alterman,לפי תקופה,middle (1968-1968),content,פה,1.98
alterman,לפי תקופה,middle (1968-1968),content,שאלה,1.94
alterman,לפי תקופה,middle (1968-1968),content,רב,1.91
alterman,לפי תקופה,middle (1968-1968),content,פנים,1.9
alterman,לפי תקופה,middle (1968-1968),content,כול,1.89
alterman,לפי תקופה,middle (1968-1968),content,אולי,1.88
alterman,לפי תקופה,middle (1968-1968),content,אחר,1.82
alterman,לפי תקופה,middle (1968-1968),content,איש,1.81
alterman,לפי תקופה,middle (1968-1968),content,יד,1.79
alterman,לפי תקופה,middle (1968-1968),func,של,23.26
alterman,לפי תקופה,middle (1968-1968),func,זה,20.11
alterman,לפי תקופה,middle (1968-1968),func,הוא,19.51
alterman,לפי תקופה,middle (1968-1968),func,את,19.28
alterman,לפי תקופה,middle (1968-1968),func,על,16.02
alterman,לפי תקופה,middle (1968-1968),func,היי,8.96
alterman,לפי תקופה,middle (1968-1968),func,כי,7.28
alterman,לפי תקופה,middle (1968-1968),func,אני,5.91
alterman,לפי תקופה,middle (1968-1968),func,כל,5.67
alterman,לפי תקופה,middle (1968-1968),func,אלה,5.08
alterman,לפי תקופה,middle (1968-1968),func,אם,4.22
alterman,לפי תקופה,middle (1968-1968),func,אלא,4.08
alterman,לפי תקופה,middle (1968-1968),func,כך,4.06
alterman,לפי תקופה,middle (1968-1968),func,אל,3.74
alterman,לפי תקופה,middle (1968-1968),func,אך,3.38
alterman,לפי תקופה,middle (1968-1968),func,אינו,3.32
alterman,לפי תקופה,middle (1968-1968),func,מן,3.31
alterman,לפי תקופה,middle (1968-1968),func,או,3.08
alterman,לפי תקופה,middle (1968-1968),func,בין,2.91
alterman,לפי תקופה,middle (1968-1968),func,לו,2.83
alterman,לפי תקופה,middle (1968-1968),func,כול,2.65
alterman,לפי תקופה,middle (1968-1968),func,עם,2.63
alterman,לפי תקופה,middle (1968-1968),func,עד,2.43
alterman,לפי תקופה,middle (1968-1968),func,אשר,2.22
alterman,לפי תקופה,middle (1968-1968),func,לי,1.74
alterman,לפי תקופה,middle (1968-1968),func,כדי,1.71
alterman,לפי תקופה,middle (1968-1968),func,לאחר,1.62
alterman,לפי תקופה,middle (1968-1968),func,כן,1.44
alterman,לפי תקופה,middle (1968-1968),func,לפני,1.41
alterman,לפי תקופה,middle (1968-1968),func,מה,1.39
alterman,לפי תקופה,middle (1968-1968),feats,Number=Sing,387.82
alterman,לפי תקופה,middle (1968-1968),feats,Gender=Masc,319.88
alterman,לפי תקופה,middle (1968-1968),feats,Gender=Fem,177.71
alterman,לפי תקופה,middle (1968-1968),feats,Number=Plur,128.7
alterman,לפי תקופה,middle (1968-1968),feats,Person=3,117.47
alterman,לפי תקופה,middle (1968-1968),feats,Tense=Past,50.38
alterman,לפי תקופה,middle (1968-1968),feats,"Person=1,2,3",37.59
alterman,לפי תקופה,middle (1968-1968),feats,"Gender=Fem,Masc",18.54
alterman,לפי תקופה,middle (1968-1968),feats,Person=1,15.56
alterman,לפי תקופה,middle (1968-1968),feats,Tense=Fut,11.68
alterman,לפי תקופה,middle (1968-1968),feats,Tense=Pres,7.4
alterman,לפי תקופה,middle (1968-1968),feats,Person=2,5.83
alterman,לפי תקופה,middle (1968-1968),feats,Tense=Imp,0.64
alterman,לפי תקופה,middle (1968-1968),feats,Number=Dual,0.1
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADP NOUN,62.01
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN NOUN,61.64
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN ADJ,41.56
alterman,לפי תקופה,middle (1968-1968),pos_bi,VERB NOUN,34.91
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN ADP,30.65
alterman,לפי תקופה,middle (1968-1968),pos_bi,VERB ADP,30.11
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN VERB,24.5
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN PRON,19.84
alterman,לפי תקופה,middle (1968-1968),pos_bi,PRON VERB,19.32
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADV VERB,16.94
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADV NOUN,16.81
alterman,לפי תקופה,middle (1968-1968),pos_bi,VERB ADV,14.01
alterman,לפי תקופה,middle (1968-1968),pos_bi,VERB VERB,11.34
alterman,לפי תקופה,middle (1968-1968),pos_bi,PRON NOUN,10.67
alterman,לפי תקופה,middle (1968-1968),pos_bi,AUX VERB,10.25
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN ADV,9.56
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADV ADV,8.7
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADJ ADP,8.46
alterman,לפי תקופה,middle (1968-1968),pos_bi,DET NOUN,7.91
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADV ADP,7.71
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADJ NOUN,7.69
alterman,לפי תקופה,middle (1968-1968),pos_bi,VERB PRON,6.96
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADP VERB,6.71
alterman,לפי תקופה,middle (1968-1968),pos_bi,PRON ADV,6.63
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN PROPN,6.2
alterman,לפי תקופה,middle (1968-1968),pos_bi,AUX NOUN,6.14
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADP PROPN,5.9
alterman,לפי תקופה,middle (1968-1968),pos_bi,NOUN AUX,5.88
alterman,לפי תקופה,middle (1968-1968),pos_bi,ADJ VERB,5.73
alterman,לפי תקופה,middle (1968-1968),pos_bi,SCONJ NOUN,5.35
alterman,לפי תקופה,middle (1968-1968),deps,punct,177.85
alterman,לפי תקופה,middle (1968-1968),deps,obl,93.78
alterman,לפי תקופה,middle (1968-1968),deps,nsubj,76.0
alterman,לפי תקופה,middle (1968-1968),deps,advmod,72.73
alterman,לפי תקופה,middle (1968-1968),deps,conj,56.96
alterman,לפי תקופה,middle (1968-1968),deps,root,52.9
alterman,לפי תקופה,middle (1968-1968),deps,compound:smixut,51.76
alterman,לפי תקופה,middle (1968-1968),deps,case,50.31
alterman,לפי תקופה,middle (1968-1968),deps,amod,47.76
alterman,לפי תקופה,middle (1968-1968),deps,nmod,37.4
alterman,לפי תקופה,middle (1968-1968),deps,det,34.88
alterman,לפי תקופה,middle (1968-1968),deps,obj,31.05
alterman,לפי תקופה,middle (1968-1968),deps,acl:relcl,30.3
alterman,לפי תקופה,middle (1968-1968),deps,case:gen,20.71
alterman,לפי תקופה,middle (1968-1968),deps,mark,17.71
alterman,לפי תקופה,middle (1968-1968),deps,nmod:poss,17.62
alterman,לפי תקופה,middle (1968-1968),deps,advcl,16.14
alterman,לפי תקופה,middle (1968-1968),deps,cop,14.37
alterman,לפי תקופה,middle (1968-1968),deps,case:acc,11.4
alterman,לפי תקופה,middle (1968-1968),deps,cc,10.91
alterman,לפי תקופה,middle (1968-1968),deps,ccomp,10.55
alterman,לפי תקופה,middle (1968-1968),deps,xcomp,9.51
alterman,לפי תקופה,middle (1968-1968),deps,dep,8.73
alterman,לפי תקופה,middle (1968-1968),deps,aux,7.41
alterman,לפי תקופה,middle (1968-1968),deps,fixed,6.87
alterman,לפי תקופה,middle (1968-1968),deps,parataxis,5.89
alterman,לפי תקופה,middle (1968-1968),deps,nummod,5.5
alterman,לפי תקופה,middle (1968-1968),deps,nsubj:cop,5.08
alterman,לפי תקופה,middle (1968-1968),deps,flat:name,4.23
alterman,לפי תקופה,middle (1968-1968),deps,appos,3.46
alterman,לפי תקופה,late (1969-1970),content,לא,13.48
alterman,לפי תקופה,late (1969-1970),content,גם,5.89
alterman,לפי תקופה,late (1969-1970),content,אין,5.84
alterman,לפי תקופה,late (1969-1970),content,יום,5.59
alterman,לפי תקופה,late (1969-1970),content,דבר,5.5
alterman,לפי תקופה,late (1969-1970),content,ישראל,5.49
alterman,לפי תקופה,late (1969-1970),content,רק,4.91
alterman,לפי תקופה,late (1969-1970),content,יהודי,4.63
alterman,לפי תקופה,late (1969-1970),content,עניין,3.52
alterman,לפי תקופה,late (1969-1970),content,יותר,3.15
alterman,לפי תקופה,late (1969-1970),content,מלחמה,3.0
alterman,לפי תקופה,late (1969-1970),content,יש,3.0
alterman,לפי תקופה,late (1969-1970),content,עם,2.99
alterman,לפי תקופה,late (1969-1970),content,ערבי,2.87
alterman,לפי תקופה,late (1969-1970),content,שעה,2.72
alterman,לפי תקופה,late (1969-1970),content,מדינה,2.61
alterman,לפי תקופה,late (1969-1970),content,ארץ,2.59
alterman,לפי תקופה,late (1969-1970),content,עולם,2.37
alterman,לפי תקופה,late (1969-1970),content,יד,2.18
alterman,לפי תקופה,late (1969-1970),content,אחר,2.16
alterman,לפי תקופה,late (1969-1970),content,שנה,2.12
alterman,לפי תקופה,late (1969-1970),content,עיקר,2.04
alterman,לפי תקופה,late (1969-1970),content,רב,1.92
alterman,לפי תקופה,late (1969-1970),content,דעת,1.89
alterman,לפי תקופה,late (1969-1970),content,אפילו,1.87
alterman,לפי תקופה,late (1969-1970),content,שאלה,1.87
alterman,לפי תקופה,late (1969-1970),content,שטח,1.86
alterman,לפי תקופה,late (1969-1970),content,מה,1.85
alterman,לפי תקופה,late (1969-1970),content,כך,1.82
alterman,לפי תקופה,late (1969-1970),content,ממשלה,1.81
alterman,לפי תקופה,late (1969-1970),func,של,26.2
alterman,לפי תקופה,late (1969-1970),func,זה,21.61
alterman,לפי תקופה,late (1969-1970),func,הוא,18.92
alterman,לפי תקופה,late (1969-1970),func,את,18.6
alterman,לפי תקופה,late (1969-1970),func,על,16.71
alterman,לפי תקופה,late (1969-1970),func,כי,9.36
alterman,לפי תקופה,late (1969-1970),func,היי,7.4
alterman,לפי תקופה,late (1969-1970),func,כל,6.46
alterman,לפי תקופה,late (1969-1970),func,אלה,6.07
alterman,לפי תקופה,late (1969-1970),func,אני,5.75
alterman,לפי תקופה,late (1969-1970),func,אלא,5.53
alterman,לפי תקופה,late (1969-1970),func,אם,4.08
alterman,לפי תקופה,late (1969-1970),func,אשר,3.9
alterman,לפי תקופה,late (1969-1970),func,או,3.8
alterman,לפי תקופה,late (1969-1970),func,בין,3.78
alterman,לפי תקופה,late (1969-1970),func,כך,3.72
alterman,לפי תקופה,late (1969-1970),func,אך,3.59
alterman,לפי תקופה,late (1969-1970),func,אינו,3.5
alterman,לפי תקופה,late (1969-1970),func,כול,3.11
alterman,לפי תקופה,late (1969-1970),func,עם,3.08
alterman,לפי תקופה,late (1969-1970),func,מן,2.96
alterman,לפי תקופה,late (1969-1970),func,אל,2.65
alterman,לפי תקופה,late (1969-1970),func,עד,2.41
alterman,לפי תקופה,late (1969-1970),func,לו,2.17
alterman,לפי תקופה,late (1969-1970),func,כמה,1.91
alterman,לפי תקופה,late (1969-1970),func,כן,1.81
alterman,לפי תקופה,late (1969-1970),func,לפני,1.64
alterman,לפי תקופה,late (1969-1970),func,לגבי,1.61
alterman,לפי תקופה,late (1969-1970),func,כדי,1.56
alterman,לפי תקופה,late (1969-1970),func,לאחר,1.51
alterman,לפי תקופה,late (1969-1970),feats,Number=Sing,384.36
alterman,לפי תקופה,late (1969-1970),feats,Gender=Masc,310.08
alterman,לפי תקופה,late (1969-1970),feats,Gender=Fem,200.86
alterman,לפי תקופה,late (1969-1970),feats,Number=Plur,145.85
alterman,לפי תקופה,late (1969-1970),feats,Person=3,100.34
alterman,לפי תקופה,late (1969-1970),feats,"Person=1,2,3",40.37
alterman,לפי תקופה,late (1969-1970),feats,Tense=Past,32.57
alterman,לפי תקופה,late (1969-1970),feats,"Gender=Fem,Masc",19.25
alterman,לפי תקופה,late (1969-1970),feats,Person=1,13.35
alterman,לפי תקופה,late (1969-1970),feats,Tense=Fut,8.23
alterman,לפי תקופה,late (1969-1970),feats,Tense=Pres,5.25
alterman,לפי תקופה,late (1969-1970),feats,Person=2,1.92
alterman,לפי תקופה,late (1969-1970),feats,Number=Dual,0.36
alterman,לפי תקופה,late (1969-1970),feats,Tense=Imp,0.33
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN NOUN,71.92
alterman,לפי תקופה,late (1969-1970),pos_bi,ADP NOUN,67.08
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN ADJ,48.27
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN ADP,31.46
alterman,לפי תקופה,late (1969-1970),pos_bi,VERB NOUN,30.58
alterman,לפי תקופה,late (1969-1970),pos_bi,VERB ADP,28.73
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN PRON,23.43
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN VERB,20.37
alterman,לפי תקופה,late (1969-1970),pos_bi,ADV NOUN,18.43
alterman,לפי תקופה,late (1969-1970),pos_bi,PRON VERB,17.12
alterman,לפי תקופה,late (1969-1970),pos_bi,ADV VERB,12.47
alterman,לפי תקופה,late (1969-1970),pos_bi,VERB ADV,12.32
alterman,לפי תקופה,late (1969-1970),pos_bi,PRON NOUN,11.82
alterman,לפי תקופה,late (1969-1970),pos_bi,AUX VERB,10.39
alterman,לפי תקופה,late (1969-1970),pos_bi,ADJ ADP,10.01
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN ADV,9.46
alterman,לפי תקופה,late (1969-1970),pos_bi,ADJ NOUN,9.19
alterman,לפי תקופה,late (1969-1970),pos_bi,DET NOUN,9.1
alterman,לפי תקופה,late (1969-1970),pos_bi,VERB VERB,8.67
alterman,לפי תקופה,late (1969-1970),pos_bi,ADV ADV,8.53
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN PROPN,8.32
alterman,לפי תקופה,late (1969-1970),pos_bi,ADV ADP,8.02
alterman,לפי תקופה,late (1969-1970),pos_bi,ADJ ADJ,7.4
alterman,לפי תקופה,late (1969-1970),pos_bi,SCONJ NOUN,7.11
alterman,לפי תקופה,late (1969-1970),pos_bi,ADP VERB,6.42
alterman,לפי תקופה,late (1969-1970),pos_bi,NOUN AUX,6.33
alterman,לפי תקופה,late (1969-1970),pos_bi,AUX NOUN,6.31
alterman,לפי תקופה,late (1969-1970),pos_bi,ADJ ADV,6.06
alterman,לפי תקופה,late (1969-1970),pos_bi,CCONJ NOUN,5.76
alterman,לפי תקופה,late (1969-1970),pos_bi,ADJ VERB,5.33
alterman,לפי תקופה,late (1969-1970),deps,punct,163.79
alterman,לפי תקופה,late (1969-1970),deps,obl,90.7
alterman,לפי תקופה,late (1969-1970),deps,advmod,69.63
alterman,לפי תקופה,late (1969-1970),deps,compound:smixut,63.6
alterman,לפי תקופה,late (1969-1970),deps,nsubj,63.56
alterman,לפי תקופה,late (1969-1970),deps,conj,61.0
alterman,לפי תקופה,late (1969-1970),deps,amod,56.81
alterman,לפי תקופה,late (1969-1970),deps,case,52.07
alterman,לפי תקופה,late (1969-1970),deps,nmod,46.45
alterman,לפי תקופה,late (1969-1970),deps,det,42.08
alterman,לפי תקופה,late (1969-1970),deps,acl:relcl,34.43
alterman,לפי תקופה,late (1969-1970),deps,root,32.64
alterman,לפי תקופה,late (1969-1970),deps,obj,28.04
alterman,לפי תקופה,late (1969-1970),deps,case:gen,24.25
alterman,לפי תקופה,late (1969-1970),deps,mark,22.18
alterman,לפי תקופה,late (1969-1970),deps,nmod:poss,18.69
alterman,לפי תקופה,late (1969-1970),deps,advcl,15.6
alterman,לפי תקופה,late (1969-1970),deps,cop,14.68
alterman,לפי תקופה,late (1969-1970),deps,cc,12.82
alterman,לפי תקופה,late (1969-1970),deps,case:acc,11.58
alterman,לפי תקופה,late (1969-1970),deps,dep,9.52
alterman,לפי תקופה,late (1969-1970),deps,ccomp,8.61
alterman,לפי תקופה,late (1969-1970),deps,aux,8.37
alterman,לפי תקופה,late (1969-1970),deps,xcomp,8.28
alterman,לפי תקופה,late (1969-1970),deps,nsubj:cop,6.68
alterman,לפי תקופה,late (1969-1970),deps,nummod,6.62
alterman,לפי תקופה,late (1969-1970),deps,fixed,6.38
alterman,לפי תקופה,late (1969-1970),deps,appos,4.63
alterman,לפי תקופה,late (1969-1970),deps,acl,3.3
alterman,לפי תקופה,late (1969-1970),deps,flat:name,3.03
